source_id,source_name_abbr,reported_chemical_name,reported_casrn
158,chem_theatre,10:2 FTCA,NA
158,chem_theatre,10:2 FTUCA,NA
158,chem_theatre,110mAg,378784-24-8
158,chem_theatre,"1,2,3,4,6,7,8-HeptaCDD",35822-46-9
158,chem_theatre,"1,2,3,4,6,7,8-HeptaCDF",67562-39-4
158,chem_theatre,"1,2,3,4,6,7,8-HpBDD",110999-47-8
158,chem_theatre,"1,2,3,4,6,7,8-HpBDF",107555-95-3
158,chem_theatre,"1,2,3,4,7,8-/1,2,3,6,7,8-HxBDDs",NA
158,chem_theatre,"1,2,3,4,7,8,9-HeptaCDF",55673-89-7
158,chem_theatre,"1,2,3,4,7,8-HexaCDD",39227-28-6
158,chem_theatre,"1,2,3,4,7,8-HexaCDF",70648-26-9
158,chem_theatre,"1,2,3,4,7,8-HxBDD",110999-44-5
158,chem_theatre,"1,2,3,4,7,8-HxBDF",129880-08-6
158,chem_theatre,"1,2,3,6,7,8-HexaCDD",57653-85-7
158,chem_theatre,"1,2,3,6,7,8-HexaCDF",57117-44-9
158,chem_theatre,"1,2,3,7-/1,2,3,8-TeBDDs",NA
158,chem_theatre,"1,2,3,7,8,9-HexaCDD",19408-74-3
158,chem_theatre,"1,2,3,7,8,9-HexaCDF",72918-21-9
158,chem_theatre,"1,2,3,7,8,9-HxBDD",110999-46-7
158,chem_theatre,"1,2,3,7,8-PeBDD",109333-34-8
158,chem_theatre,"1,2,3,7,8-PeBDF",107555-93-1
158,chem_theatre,"1,2,3,7,8-PentaCDD",40321-76-4
158,chem_theatre,"1,2,3,7,8-PentaCDF",57117-41-6
158,chem_theatre,"1,2,7,8-TCDF",58802-20-3
158,chem_theatre,"1,2,8,9-TCDD",62470-54-6
158,chem_theatre,"1,2,8,9-TCDF",70648-22-5
158,chem_theatre,"1,2-Br2Any",13019-33-5
158,chem_theatre,134Cs,13967-70-9
158,chem_theatre,"1,3,6,8-TCDD",33423-92-6
158,chem_theatre,"1,3,6,8-TCDF",71998-72-6
158,chem_theatre,"1,3,7-/1,3,8-TriBDD",NA
158,chem_theatre,"1,3,7,9-TCDD",62470-53-5
158,chem_theatre,137Cs,10045-97-3
158,chem_theatre,13C,NA
158,chem_theatre,"1,4-Cl2Ant",66259-12-9
158,chem_theatre,"1,5,9,10-Cl4Ant",82843-47-8
158,chem_theatre,"1,5-Cl2Ant/9,10-Cl2Ant",NA
158,chem_theatre,15N,NA
158,chem_theatre,"1,6-BrPyr",27973-29-1
158,chem_theatre,"1,8-Br2Ant/1,5-Br2Ant",NA
158,chem_theatre,199Hg,NA
158,chem_theatre,1-BrAnt,7397-92-4
158,chem_theatre,1-BrPyr,1714-29-0
158,chem_theatre,1-ClAnt,4985-70-0
158,chem_theatre,1-ClPyr,34244-14-9
158,chem_theatre,1-Nitronaphthalene,NA
158,chem_theatre,1-Nitropyrene,NA
158,chem_theatre,200Hg,NA
158,chem_theatre,201Hg,NA
158,chem_theatre,202Hg,NA
158,chem_theatre,204Hg,NA
158,chem_theatre,"2,3,4,5-TeCP",4901-51-3
158,chem_theatre,"2,3,4,6,7,8-HexaCDF",60851-34-5
158,chem_theatre,"2,3,4,6-TeCP",58-90-2
158,chem_theatre,"2,3,4,7,8-PeBDF",131166-92-2
158,chem_theatre,"2,3,4,7,8-PentaCDF",57117-31-4
158,chem_theatre,"2,3,5,6-TeCP",935-95-5
158,chem_theatre,"2,3,7,8-TBDD",50585-41-6
158,chem_theatre,"2,3,7,8-TBDF",67733-57-7
158,chem_theatre,"2,3,7,8-TCDD",1746-01-6
158,chem_theatre,"2,3,7,8-TetraCDF",51207-31-9
158,chem_theatre,"2,3,7-TriBDD",51974-40-4
158,chem_theatre,"2,4,5-TCP",95-95-4
158,chem_theatre,"2,4,6-TCP",88-06-2
158,chem_theatre,"2,4,8-TriBDF",617707-54-7
