"name","reported_media","reported_species"
"ip_chem_ibs","human (urine)",NA
"ip_chem_biomonitoring","human (hair)",NA
"ip_chem_biomonitoring","human (urine)",NA
"ip_chem_biomonitoring","biota (animals)","bream (musculature)"
"ip_chem_biomonitoring","biota (animals)","bream (liver)"
"ip_chem_biomonitoring","biota (plants)","common spruce (one-year-old shoot)"
"ip_chem_biomonitoring","biota (plants)","pine (one-year-shoots)"
"ip_chem_biomonitoring","biota (animals)","roe deer, one-year-old (liver)"
"ip_chem_biomonitoring","biota (plants)","lombardy poplar (leaves)"
"ip_chem_biomonitoring","biota (plants)","beech (leaves)"
"ip_chem_biomonitoring","biota (animals)","blue mussel (soft body)"
"ip_chem_biomonitoring","biota (animals)","zebra mussel (soft body)"
"ip_chem_biomonitoring","biota (animals)","earthworm (lumbricus terrestris) (whole body without faeces)"
"ip_chem_biomonitoring","biota (animals)","marine samples (common bladder wrack)"
"ip_chem_biomonitoring","biota (animals)","earthworm (aporrectodea longa) (whole body without faeces)"
"ip_chem_biomonitoring","human (blood plasma)","students (blood plasma)"
"ip_chem_biomonitoring","human (whole blood)","students (whole blood)"
"ip_chem_biomonitoring","human (24h-sampling urine)","students (24h-sampling urine)"
"ip_chem_biomonitoring","human (saliva)","students (saliva)"
"ip_chem_biomonitoring","human (pubic hair)","students (pubic hair)"
"ip_chem_biomonitoring","human (scalp hair)","students (scalp hair)"
"ip_chem_biomonitoring","water (suspended particulate matter)","limnetic samples (suspended particulate matter)"
"ip_chem_biomonitoring","biota (animals)","herring gull (egg content)"
"ip_chem_biomonitoring","biota (animals)","feral pigeon (egg content)"
"ip_chem_biomonitoring","biota (animals)","eelpout (musculature)"
"ip_chem_biomonitoring","biota (animals)","eelpout (liver)"
"ip_chem_biomonitoring","soil","soil (organic layer/root network)"
"ip_chem_biomonitoring","soil","soil (topsoil)"
"ip_chem_biomonitoring","soil","soil (subsoil)"
"ip_chem_biomonitoring","human (cord blood)",NA
"ip_chem_biomonitoring","human (blood)",NA
